"","var","rel.inf","run"
"logShelfAreaShallow","logShelfAreaShallow",25.5456712039151,3
"logMang","logMang",14.888643524853,3
"logtotalGearTonnes","logtotalGearTonnes",14.1587130177907,3
"logProteinDiet","logProteinDiet",8.90238553183961,3
"WGI","WGI",7.01875991832584,3
"logGDP","logGDP",5.68835455109565,3
"logCoastPop","logCoastPop",4.85568768655644,3
"logChondCatch","logChondCatch",4.75142660037598,3
"HDI","HDI",3.8543682592384,3
"logEstDis","logEstDis",3.04541459937066,3
"logPprodMean","logPprodMean",2.29418489450042,3
"logFishEffort","logFishEffort",2.08467528071556,3
"SstMean","SstMean",1.65628943946437,3
"speciessmall","speciessmall",0.598689047618654,3
"speciesgreen","speciesgreen",0.387014759636947,3
"specieslarge","specieslarge",0.269721684702698,3
"speciesdwarf","speciesdwarf",0,3
"speciesnarrow","speciesnarrow",0,3
"logShelfAreaShallow1","logShelfAreaShallow",25.6623661277027,14
"logMang1","logMang",15.627902951607,14
"logtotalGearTonnes1","logtotalGearTonnes",15.3279382243377,14
"logProteinDiet1","logProteinDiet",9.40184949228797,14
"WGI1","WGI",6.74765300081923,14
"logGDP1","logGDP",5.10326863351794,14
"logCoastPop1","logCoastPop",4.65603918726896,14
"logChondCatch1","logChondCatch",4.36739626172242,14
"HDI1","HDI",3.59381736345825,14
"logEstDis1","logEstDis",3.04603229821423,14
"logPprodMean1","logPprodMean",2.0755163824036,14
"logFishEffort1","logFishEffort",1.82889514781904,14
"SstMean1","SstMean",1.42263914139478,14
"speciesgreen1","speciesgreen",0.517192191144929,14
"speciessmall1","speciessmall",0.51663585372494,14
"specieslarge1","specieslarge",0.104857742576282,14
"speciesdwarf1","speciesdwarf",0,14
"speciesnarrow1","speciesnarrow",0,14
